Vendor_Code,Vendor_Name,Distribution_GL_Account,Phase_Code,Cost_Type,Vendor_Contact,Vendor_Address,Account_Reference,WO_GL_Codes
,,,,,,,,
    AAONIN,Aaon Inc.,,,,(918) 382-6251,,,
    ACCNOR,"ACCUREX, LLC",5040,330,E,,,,5280
    ACIENG,Acies Engineering,,560,S,(408) 522-5255,"400 N. McCarthy Blvd.
Suite 250
Milpitas, CA 95035",,
    ACTRAD,Air Conditioning Trade Association,7485,,,,,,
    ADLITE,Ad-Lite Crane Service,5060,600,S,(415) 453-6304,"7 Commercial Blvd., #4
Novato, CA 94949-6106",,5340
    ADRENG,"Adrian Palma Engineers, Inc.",,,,(925) 922-9228,"P.O Box 1075
Pleasanton, CA 94566",,5340
    ADRPAL,ADRIAN PALMA ENGINEERING INC,9999,,,,,,
    ADVMEC,Advantage Mechanical Supply,,,,,,,1200
    AGASGR,A-GAS ,,,,,"P.O. Box 735856
Chicago, IL 60673-5856",327891,1200
    AIRFIL,Air Filter/Control,9999,,,,,,
    AIRGAS,"AIR GAS USA, LLC",,,,,"PO BOX 102289
PASADENA, CA 91189-2289",2135149,1200
    AIRIUS,AIRIUS ,5040,330,E,(303) 772-2633,"P.O BOX 1018
LONGMONT, CO 80502",,5280
    AIRQUA,Air Quality Engineering ,5030,320,E,,,,5260
    AIRSAL,Air Filter Sales,,,,,,,5260
    AIRSUP,Air Filter Supply,,,,,"P.O Box 1166
Rancho Cordova, CA 95741",,5260
    AIRTEC,Air Tech Sales,5040,330,E,(916) 782-7550,"1830 Vernon Street, Ste. 2
Roseville, CA 95678",,5280
    AIRTRE,Air Treatment Corporation,5040,330,E,(714) 257-9982,"640 N. Puente Street
Brea, CA 92821",,5280
    AMEFUN,American Funds Investment,6400,,,,,,
    AMESTO,American Storage,,,,,,,
    AMSPRI,Amsterdam Printing,,,,,,,
    ANDCON,Andonian Construction,,,,,,,
    ARIHEL,Heli-Flite INC DBA Aris Helicopters,5060,630,S,(951) 359-5016,"1965 Aviation Drive #F
Corona, CA 92878",,5340
    ARRSIG,Arrow Sign Company,5060,600,S,(510) 533-0815,"1051 46th Ave.
Oakland, CA 94601",,5340
    BACPRO,THE BACKFLOW PRO,5060,600,S,,,,5340
    BAKGAS,"Baker's Gas & Welding Supplies, Inc.",6080,,,,,,
    BAYAIR,Bay Air Systems,9999,,,,"1300 Galaxy Way#9
Concord, CA 94520",,
    BAYCON,BAY CONTROL LLC,9999,,,491-891-4399,"6528 WEATHERFIELD COURT
MAUMEE, OH 43537",,
