file_name,extracted_po_number,clean_po_number,PO_Number,Job_Number,WO_Number,Remarks,po_verified_by,job_verified_by,ordered_by,distribution_code,routing_code
106271 SSFLUM_1754585458291.pdf,25-16,25-16,,25.16,,,ERROR: Not Found,ERROR: Not Found,JIGNESH TANDEL,,
106386 SSFLUM_1754585458293.pdf,25.02,25.02,,25.02,,,ERROR: Not Found,ERROR: Not Found,MUKESH TANDEL,,
106465 SSFLUM_1754585458297.pdf,PO # SHOP,,,,,PO # SHOP,ERROR: Not Found,ERROR: Not Found,,,
106699 SSFLUM_1754585458300.pdf,25 27,25 27,,25.27,,,ERROR: Not Found,ERROR: Not Found,,,
106700 SSFLUM_1754585458306.pdf,25.02,25.02,,25.02,,,ERROR: Not Found,ERROR: Not Found,MUKESH TANDEL,,
107155 SSFLUM_1754585458308.pdf,25 04,25 04,,25.04,,,ERROR: Not Found,ERROR: Not Found,NIRAJ TANDEL,,
107274 SSFLUM_1754585458315.pdf,650-615-0248,650,,,,650-615-0248,ERROR: Not Found,ERROR: Not Found,,,
Captive Aire_1754585458319.pdf,1412,1412,1412,25.04,,,Purchase Order 1412 R1.pdf,,NIRAJ TANDEL,E,N-E
doc11181820250804113622-5_1754585458321.pdf,Shop,SHOP,,,,Shop,ERROR: Not Found,ERROR: Not Found,,,
doc11181820250804113622-6_1754585458323.pdf,2660,2660,2660,,,,ERROR: Not Found,ERROR: Not Found,,,
doc11181820250804113622-7_1754585458339.pdf,SHOP,SHOP,,,,SHOP,ERROR: Not Found,ERROR: Not Found,,,
doc11181820250804113622-8_1754585458343.pdf,25.28,25.28,,25.28,,,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part10_1754585458406.pdf,,,,,,,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part1_1754585458364.pdf,SHOP STOCK,SHOP STOCK,,,,SHOP STOCK,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part2_1754585458367.pdf,25.09,25.09,,25.09,,,ERROR: Not Found,ERROR: Not Found,NIRAJ TANDEL,,
doc11186020250805072454_Part3_1754585458369.pdf,25.09,25.09,,25.09,,,ERROR: Not Found,ERROR: Not Found,NIRAJ TANDEL,,
doc11186020250805072454_Part4_1754585458373.pdf,2533,2533,2533,,,,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part5_1754585458378.pdf,Ricky's Truck Stock,,,,,Ricky's Truck Stock,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part6_1754585458391.pdf,950,950,,,,950,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part7_1754585458393.pdf,HOME 2 SUITES,HOME 2 SUITES,,,,HOME 2 SUITES,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part8_1754585458395.pdf,TOKYO,TOKYO,,,,TOKYO,ERROR: Not Found,ERROR: Not Found,,,
doc11186020250805072454_Part9_1754585458396.pdf,2506,2506,2506,,,,ERROR: Not Found,ERROR: Not Found,,,
